VCD info: dumpfile report/waveform.vcd opened for output.
                   0   x *  x =    x _______ A:xxxx, XB:0000xxxx, state = 0, next_state = x, count = 4 , B0,B-1 = x0, out_ready = 0
                 358   1 * -6 =   16 _______ A:0001, XB:00001010, state = 4, next_state = 3, count = 4 , B0,B-1 = 00, out_ready = 0
                 362   1 * -6 =   16 _______ A:0001, XB:00001010, state = 3, next_state = 4, count = 4 , B0,B-1 = 00, out_ready = 0
                 366   1 * -6 =   16 _______ A:0001, XB:00000101, state = 4, next_state = 2, count = 3 , B0,B-1 = 10, out_ready = 0
                 370   1 * -6 =   16 _______ A:0001, XB:00000101, state = 2, next_state = 3, count = 3 , B0,B-1 = 10, out_ready = 0
                 374   1 * -6 =   16 _______ A:0001, XB:11110101, state = 3, next_state = 4, count = 3 , B0,B-1 = 10, out_ready = 0
                 378   1 * -6 =   16 _______ A:0001, XB:11111010, state = 4, next_state = 1, count = 2 , B0,B-1 = 01, out_ready = 0
                 382   1 * -6 =   16 _______ A:0001, XB:11111010, state = 1, next_state = 3, count = 2 , B0,B-1 = 01, out_ready = 0
                 386   1 * -6 =   16 _______ A:0001, XB:00001010, state = 3, next_state = 4, count = 2 , B0,B-1 = 01, out_ready = 0
                 390   1 * -6 =   16 _______ A:0001, XB:00000101, state = 4, next_state = 2, count = 1 , B0,B-1 = 10, out_ready = 0
                 394   1 * -6 =   16 _______ A:0001, XB:00000101, state = 2, next_state = 3, count = 1 , B0,B-1 = 10, out_ready = 0
                 398   1 * -6 =   16 _______ A:0001, XB:11110101, state = 3, next_state = 4, count = 1 , B0,B-1 = 10, out_ready = 0
                 402   1 * -6 =   -6 _______ A:0001, XB:11111010, state = 4, next_state = 1, count = 0 , B0,B-1 = 01, out_ready = 1
                 405   1 * -6 =   -6 _______ A:0001, XB:00001010, state = 0, next_state = 4, count = 4 , B0,B-1 = 00, out_ready = 0
                 410  -2 *  6 =   -6 _______ A:1110, XB:00000110, state = 4, next_state = 3, count = 4 , B0,B-1 = 00, out_ready = 0
                 414  -2 *  6 =   -6 _______ A:1110, XB:00000110, state = 3, next_state = 4, count = 4 , B0,B-1 = 00, out_ready = 0
                 418  -2 *  6 =   -6 _______ A:1110, XB:00000011, state = 4, next_state = 2, count = 3 , B0,B-1 = 10, out_ready = 0
                 422  -2 *  6 =   -6 _______ A:1110, XB:00000011, state = 2, next_state = 3, count = 3 , B0,B-1 = 10, out_ready = 0
                 426  -2 *  6 =   -6 _______ A:1110, XB:00100011, state = 3, next_state = 4, count = 3 , B0,B-1 = 10, out_ready = 0
                 430  -2 *  6 =   -6 _______ A:1110, XB:00010001, state = 4, next_state = 3, count = 2 , B0,B-1 = 11, out_ready = 0
